px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
16.0932	19.6122	4.77209	2.60864	0.558473	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54365	10.0916	R
15.8877	19.7562	4.79594	2.62888	0.549905	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	0.770865	L
15.6993	19.881	4.76707	2.63302	0.500461	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	3.20005	R
15.4684	20.0344	4.83122	2.65062	0.491193	15.4332	20.1836	15.4956	20.111	-4.2846	2.2081	1.34399	L
15.2566	20.1766	4.85435	2.66158	0.470453	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	5.66061	R
15.0683	20.3083	4.83882	2.67282	0.457975	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	1.83911	L
14.8378	20.3908	4.83832	2.71093	0.482213	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	2.1626	R
14.6221	20.51	4.8493	2.7275	0.474162	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	0.623531	L
14.3852	20.5972	4.86804	2.7643	0.501138	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	1.29693	R
14.1388	20.6713	4.88346	2.79662	0.508408	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	0.729192	L
13.9016	20.7427	4.89267	2.83233	0.530067	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.368471	R
13.6275	20.8064	4.94195	2.86722	0.5378	13.4687	20.7253	13.6977	20.807	-4.67357	1.26294	1.72521	L
13.379	20.8374	4.94964	2.92106	0.590466	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	2.34472	R
13.133	20.8781	4.94858	2.95441	0.594486	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	0.160965	L
12.9011	20.9369	4.93984	2.97554	0.582923	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	1.78053	R
12.7017	20.9801	4.8798	2.99835	0.577984	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	1.94049	L
12.4489	21.021	4.90317	3.02619	0.578653	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	2.56141	R
12.2022	21.058	4.9136	3.05091	0.573871	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	0.148494	L
11.9636	21.0779	4.91022	3.08202	0.581951	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	0.942655	R
11.7212	21.048	4.88858	3.12604	0.5985	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	1.88556	L
11.4742	21.0347	4.88761	3.16129	0.604478	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.07229	R
11.2587	21.0276	4.84579	3.19035	0.604559	11.363	21.0689	11.2982	21.1335	-4.87623	0.0441057	0.693515	L
11.0047	20.9891	4.85783	3.22974	0.614413	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	4.1248	R
10.7949	20.9504	4.80706	3.26581	0.62187	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.577039	L
10.547	20.9498	4.79576	3.26974	0.56826	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.316041	5.64676	R
10.2654	20.9782	4.87292	3.27261	0.537801	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.41679	L
10.0266	20.9598	4.8686	3.29142	0.526336	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	1.02138	R
9.83362	20.9202	4.79822	3.32014	0.531071	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.67346	L
9.59958	20.9119	4.76562	3.31759	0.475944	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.29689	R
9.40727	20.8596	4.70307	3.34727	0.484044	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	1.02403	L
9.18655	20.8177	4.69275	3.36977	0.484269	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.47691	R
8.89285	20.7873	4.79086	3.37855	0.465033	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	2.2454	L
8.67879	20.7074	4.76966	3.41383	0.482095	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.4496	R
8.40217	20.6242	4.84217	3.43956	0.482189	8.22277	20.4839	8.39557	20.7357	-4.74108	-1.34701	2.79046	L
8.17371	20.5439	4.84637	3.469	0.492096	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.103811	R
7.93118	20.4642	4.86734	3.4916	0.489425	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.12781	L
7.71531	20.3776	4.87069	3.52538	0.512108	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66782	3.4988	R
7.40548	20.3205	4.98845	3.52506	0.480945	7.18029	20.392	7.45939	20.4236	-4.61975	-1.7717	3.45177	L
7.17336	20.224	4.9866	3.54706	0.475533	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.219498	R
6.90837	20.1417	5.03595	3.55812	0.460472	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.660967	L
6.68277	20.0502	5.01958	3.57393	0.448113	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.482514	R
6.43473	19.9591	5.04552	3.58668	0.436988	6.38914	20.0136	6.55059	20.0292	-4.46805	-2.17079	0.307697	L
6.21768	19.8655	5.02731	3.60419	0.433228	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	2.85302	R
5.95449	19.7723	5.07633	3.61101	0.41597	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.756945	L
5.72497	19.6263	5.11836	3.65038	0.450345	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	1.95761	R
5.54965	19.5029	5.051	3.68066	0.460224	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	1.42479	L
5.34836	19.3536	5.04496	3.71442	0.475294	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	1.76209	R
5.13538	19.2519	5.03142	3.72473	0.460771	5.17021	19.4397	5.25059	19.2949	-4.19488	-2.71622	1.92777	L
4.9439	19.1402	4.9701	3.7343	0.435141	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	4.66555	R
4.78234	18.9888	4.91719	3.76944	0.451289	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.74293	L
4.57342	18.8387	4.95153	3.79507	0.461608	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.48374	R
4.39659	18.7068	4.91593	3.81567	0.459689	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	1.12196	L
4.21496	18.5647	4.87221	3.82988	0.439975	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.34522	R
4.09146	18.4091	4.79029	3.86826	0.46062	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	2.01334	L
3.90721	18.2362	4.86843	3.9079	0.501966	3.42433	18.8357	3.84606	18.2457	-3.82841	-3.26644	7.20074	R
3.65034	18.0952	4.95263	3.89934	0.461176	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.65873	L
3.48817	17.9447	4.88558	3.91212	0.438008	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	3.40354	R
3.26071	17.7779	4.94799	3.91607	0.415813	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.17163	L
3.08083	17.5939	4.99532	3.94691	0.440139	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	2.37876	R
2.90225	17.4763	4.95443	3.94707	0.416127	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	6.1418	L
2.75985	17.2596	4.99743	3.9989	0.468801	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	3.13057	R
2.58464	17.0736	5.00995	4.01645	0.46179	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.0689831	L
2.42112	16.9077	4.94274	4.01922	0.422707	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78015	2.11766	R
2.25699	16.7354	4.93544	4.03213	0.413438	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.511839	L
