px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.35498	-7.49033	-2.77613	-2.54794	-0.585752	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	2.66051	R
6.47801	-7.39947	-2.77769	-2.57501	-0.58095	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.102741	L
6.59403	-7.31672	-2.78464	-2.60031	-0.579291	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.72326	R
6.72348	-7.22643	-2.81128	-2.62231	-0.571204	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.419417	L
6.79426	-7.09652	-2.74715	-2.55736	-0.418609	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	13.4175	R
6.91277	-7.00248	-2.74726	-2.57197	-0.410828	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.291037	L
7.0452	-6.92458	-2.75217	-2.59911	-0.417748	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0477212	R
7.17443	-6.82882	-2.76564	-2.61206	-0.407793	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.347174	L
7.26457	-6.71458	-2.7205	-2.56534	-0.295892	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	7.37978	R
7.38597	-6.61978	-2.72644	-2.57296	-0.287596	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.242268	L
7.53683	-6.57791	-2.76465	-2.64544	-0.382438	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	5.54764	R
7.65956	-6.50327	-2.77287	-2.65954	-0.377445	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.0856741	L
7.77816	-6.42005	-2.75399	-2.65774	-0.343069	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.856834	R
7.90241	-6.35384	-2.7402	-2.67568	-0.342794	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.137955	L
8.02588	-6.27819	-2.7242	-2.67682	-0.314061	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.56171	R
8.15782	-6.19844	-2.73123	-2.68596	-0.306094	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.175564	L
8.24367	-6.10349	-2.68229	-2.64179	-0.212057	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	5.89652	R
8.35951	-6.0204	-2.6934	-2.64109	-0.200949	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.330916	L
8.51059	-5.96566	-2.72416	-2.68473	-0.254628	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.17216	R
8.64828	-5.89198	-2.73344	-2.69457	-0.25034	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0546061	L
8.74625	-5.7912	-2.67807	-2.64596	-0.151448	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	6.79492	R
8.87415	-5.70436	-2.68778	-2.64393	-0.141255	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.235079	L
8.96791	-5.61385	-2.65367	-2.60602	-0.0695762	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	3.56956	R
9.07909	-5.52627	-2.66403	-2.59733	-0.0577557	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.33652	L
9.22147	-5.46546	-2.69394	-2.63538	-0.117438	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.58199	R
